code2,hyname
600000,信托概念，MSCI概念，富时罗素概念股，标普道琼斯A股，优先股概念，外汇局持股
600004,MSCI预期，粤港澳大湾区，标普道琼斯A股，富时罗素概念股，春运，地方国资改革，广东国资改革，机构重仓
600006,燃料电池，网约车，无人驾驶，新能源汽车，央企国资改革，华为概念，智能汽车，新能源物流车，汽车制造概念
600007,中字头股票，富时罗素概念股，标普道琼斯A股，国际板，机构重仓
600008,固废处理，污水处理，节能环保，参股新三板，PPP概念，雄安新区，乡村振兴，证金持股，农村环境治理，雄安环保，海绵城市，北京环球影城，水价改革，北京国资改革，地方国资改革
600009,标普道琼斯A股，上海国资改革，MSCI概念，上海自贸区，迪士尼，证金持股，富时罗素概念股，大消费，春运，地方国资改革，机构重仓
600010,稀土永磁，小金属概念，一带一路，MSCI概念，富时罗素概念股，标普道琼斯A股，稀土整合，地方国资改革，铁矿石
600011,电力改革，MSCI概念，风电，央企国资改革，光伏概念，富时罗素概念股，标普道琼斯A股，新能源，机构重仓
600012,富时罗素概念股，标普道琼斯A股，养老金持股，春运，长江经济带，参股民营银行，地方国资改革，安徽国资改革，机构重仓
600015,MSCI概念，富时罗素概念股，标普道琼斯A股，优先股概念，机构重仓
600016,MSCI概念，富时罗素概念股，标普道琼斯A股，史玉柱概念，安邦系
600017,中韩自贸区，一带一路，地方国资改革，山东国资改革
600018,自由贸易港，上海自贸区，上海国资改革，体育产业，一带一路，参股银行，股权转让，MSCI概念，富时罗素概念股，足球概念，标普道琼斯A股，杭州湾大湾区，航运港口，黄金水道，地方国资改革
600019,石墨电极，参股银行，核电，央企国资改革，互联网+，MSCI概念，富时罗素概念股，标普道琼斯A股，互联网钢铁，西气东输，供气
600020,创投，信托概念，文化传媒，参股保险，富时罗素概念股，标普道琼斯A股，春运，河南自贸区，地方国资改革，优先股概念，河南国资改革
600021,电力改革，风电，央企国资改革，富时罗素概念股，标普道琼斯A股，国改双百行动，新能源，太阳能，机构重仓
600022,地方国资改革，山东国资改革
600023,核电，一带一路，浙江国资改革，地方国资改革，机构重仓
600025,央企国资改革，标普道琼斯A股，机构重仓
600026,航运概念，上海自贸区，央企国资改革，一带一路，MSCI预期，富时罗素概念股，标普道琼斯A股，进口博览会，油气运输仓储，中远系，机构重仓
600027,电力改革，央企国资改革，富时罗素概念股，MSCI概念，标普道琼斯A股，新能源
600028,两桶油改革，可燃冰，油品改革，天然气，央企国资改革，一带一路，中字头股票，MSCI概念，证金持股，页岩气，富时罗素概念股，标普道琼斯A股，油气开采，聚丙烯，油价上调，油气管网
600029,MSCI概念，富时罗素概念股，央企国资改革，举牌，标普道琼斯A股，大消费，油价下调，春运，人民币升值，航空租赁，机构重仓
600030,期货概念，MSCI概念，富时罗素概念股，参股银行，证金持股，标普道琼斯A股
600031,MSCI概念，一带一路，富时罗素概念股，高端装备，工业4.0，军工，军民融合，标普道琼斯A股，机械装备，挖掘机，参股民营银行
600033,福建自贸区，参股银行，春运，海峡西岸，地方国资改革
600035,国产操作系统，ETC，物联网，车联网，智能医疗，华为概念，长江经济带，湖北国资改革，地方国资改革
600036,MSCI概念，标普道琼斯A股，富时罗素概念股，优先股概念，安邦系
600037,大数据，智慧城市，云计算，文化传媒，网络游戏，互联网彩票，互联网+，虚拟现实，证金持股，华为概念，物联网，广播电视，物联网应用层，地方国资改革，三网融合，北京国资改革
600038,通用航空，大飞机，国产航母，高端装备，央企国资改革，军工，MSCI预期，富时罗素概念股，黑龙江自贸区，标普道琼斯A股，养老金持股，中航系，阅兵，私人飞机，航天军工，航空租赁，机构重仓
600039,一带一路，PPP概念，石墨烯，锂电池，富时罗素概念股，标普道琼斯A股，西部开发，正极材料，成渝特区，四川国资改革，地方国资改革
600048,租售同权，证金持股，标普道琼斯A股，参股券商，MSCI概念，富时罗素概念股，养老地产，住房租赁
600050,移动支付，量子通信，智能家居，5G，央企国资改革，大数据，中字头股票，空铁WIFI，区块链，物联网，MSCI概念，富时罗素概念股，标普道琼斯A股，电信业整合，物联网传输层，物联网平台层，5G运营商，区块链应用，移动转售，联通混改，外汇局持股，宽带
600051,小金属概念，金属镍，养老金持股，舟山自贸区
600052,体育产业，金改，文化传媒，影视娱乐
600053,创投，跨境电商，PPP概念，富时罗素概念股，标普道琼斯A股，机构重仓
600054,参股券商，旅游，大消费，含B股，地方国资改革
600055,医疗器械概念，互联网医疗，智能医疗，健康中国，股权转让，医学影像
600056,仿制药一致性评价，生物医药，MSCI预期，参股券商，央企国资改革，中字头股票，参股银行，富时罗素概念股，标普道琼斯A股，医保目录，国产伟哥，流感，人参
600057,福建自贸区，电子商务，参股银行，物流骨干网，地方国资改革，机构重仓
600058,小金属概念，证金持股，电子商务，央企国资改革，国改双百行动，铁矿石，铬铁，互联网钢铁，稀土整合
600059,参股新三板，老字号，浙江国资改革，地方国资改革
600060,家用电器，智能家居，超清视频，证金持股，MSCI预期，富时罗素概念股，标普道琼斯A股，大消费，互联网电视，青岛自贸区，智能电视，世界杯，TMT，山东国资改革，地方国资改革
600061,期货概念，雄安新区，央企国资改革，MSCI概念，富时罗素概念股，标普道琼斯A股，雄安金融，金控平台，机构重仓
600062,青蒿素，生物医药，标普道琼斯A股，MSCI预期，富时罗素概念股，仿制药，埃博拉概念，流感，疟疾，机构重仓
600063,新材料概念，金改，大飞机，参股券商，三季报预增，电石，小额贷款，地方国资改革，安徽国资改革
600064,金改，参股银行，创投，参股券商，参股新三板，南京国资改革，小额贷款，移动互联网，江苏国资改革，地方国资改革
600066,燃料电池，无人驾驶，新能源汽车，MSCI概念，富时罗素概念股，标普道琼斯A股，新能源整车，河南自贸区，新能源，汽车制造概念
600067,锂电池，电解液，储能，游艇，金控平台，海峡西岸，小额贷款
600068,水利，一带一路，PPP概念，参股券商，东盟自贸区，央企国资改革，高铁，证金持股，MSCI概念，富时罗素概念股，标普道琼斯A股，长江经济带，海绵城市，中巴经济走廊
600069,纳米纸
600070,金改，大数据，独角兽概念，节能环保，华为概念，参股银行，小额贷款
600071,黑洞概念，安防，物联网，食品安全，央企国资改革，中国电科系，全息手机，地沟油概念，仪电仪表，太赫兹，王亚伟持股
600072,中船系，国产航母，海工装备，军工，高端装备，一带一路，PPP概念，富时罗素概念股，标普道琼斯A股，机械装备，钢结构，海洋经济，航天军工
600073,猪肉，迪士尼，上海国资改革，富时罗素概念股，标普道琼斯A股，分拆上市意愿，进口博览会，牛羊肉，老字号，地方国资改革
600075,新疆振兴，水利，生态农业，一带一路，煤化工，富时罗素概念股，标普道琼斯A股，电石，PVC，烧碱，乙二醇，新能源，新疆建设兵团，节水灌溉，地方国资改革
600076,土地流转，新材料概念，国资驰援，装配式建筑，工业4.0，林场改革
600077,舟山新区
600078,磷化工，PTA，黑磷
600079,芬太尼，二胎概念，生物疫苗，民营医院，参股新三板，眼科医疗，参股券商，商誉减值，MSCI预期，养老金持股，维生素，仿制药，医保目录，抗癌，避孕套，情人节
600080,生物医药，医疗器械概念，创新药，多肽药，抗癌
600081,汽车电子，新能源汽车，华为概念，电机电控
600082,创投，蚂蚁金服概念，天津自贸区，参股新三板，京津冀一体化，天津国资改革，地方国资改革
600083,智能音箱，股权转让，人工智能，柔性屏，智能手表
600084,ST板块，新疆振兴，葡萄酒替白酒
600085,超级品牌，富时罗素概念股，MSCI概念，标普道琼斯A股，大消费，中医药，流感，医保目录，老字号，人参，冬虫夏草，安邦系，北京国资改革，地方国资改革，机构重仓
600086,黄金概念，小金属概念，股权转让，互联网+，小额贷款，P2P概念
600088,文化传媒，超清视频，央企国资改革，旅游，广播电视，影视娱乐，网络视频，三网融合，动漫，TMT
600089,证金持股，一带一路，新疆振兴，超导，智能电网，特高压，光伏概念，碳纤维，工业4.0，风电，MSCI概念，雄安新区，能源互联网，富时罗素概念股，标普道琼斯A股，氧化铝，融资租赁，国开行，中巴经济走廊，太阳能，多晶硅
600090,新疆振兴，生物医药，医疗器械概念
600091,ST板块
600093,区块链，供应链金融，电子商务，股权转让，富时罗素概念股，标普道琼斯A股，区块链应用，成渝特区，西气东输，机构重仓
600094,富时罗素概念股，标普道琼斯A股，参股保险，融资租赁，金控平台，含B股
600095,大豆，黑龙江自贸区，人造肉，金改，壳资源，创投，贸易战受益股，振兴东北，保健品，新能源，医保目录，中俄自贸区，抗癌
600096,磷化工，煤化工，锂电池，乡村振兴，三季报预增，甲醇，国改双百行动，磷酸一铵，锂电隔膜，黑磷，钾离子电池，中以自贸区，玻璃纤维，尿素，化肥，地方国资改革，云南国资改革，机构重仓
600097,上海自贸区，上海国资改革，举牌，进口博览会，海洋经济，地方国资改革
600098,广东自贸区，天然气，可燃冰，美丽中国，粤港澳大湾区，养老金持股，LNG加气站，垃圾发电，供气，地方国资改革，广东国资改革，机构重仓
600099,光伏概念，央企国资改革
600100,智能家居，安防，高校，网络游戏，节能照明，物联网，云计算，军工，网络安全，央企国资改革，参股新三板，移动支付，智慧城市，PPP概念，养老概念，大数据，创投，国产操作系统，物联网感知层，奥运会，海绵城市，反恐，移动金融，建筑节能，电子标签
600101,天然气，央企国资改革，钒涨价，新能源，钒电池，成渝特区，宝能系
600103,参股新三板，人民币升值，海峡西岸
600104,超级品牌，参股万达商业，无人驾驶，新能源汽车，上海国资改革，燃料电池，MSCI概念，宁德时代概念，华为概念，足球概念，富时罗素概念股，标普道琼斯A股，大消费，贸易战受益股，动力电池回收，新能源整车，电机电控，共享经济，共享汽车，智能汽车，
600105,超导，5G，长三角一体化，量子通信，网络安全，大数据，一带一路，富时罗素概念股，稀土永磁，华为概念，标普道琼斯A股，新基建，光纤光缆，电子信息，宽带中国，光纤
600106,金改，ETC，参股券商，重庆自贸区，成渝特区
600107,期货概念，壳资源，互联网期货
600108,农业种植，乡村振兴，土地流转，参股券商，证金持股，啤酒概念，红枣，农垦改革，聚土地概念，新型城镇化，转基因，家庭农场，甘肃国资改革，地方国资改革
600109,期货概念，互联网金融，互联网+，腾讯概念，MSCI概念，富时罗素概念股，标普道琼斯A股，互联网银行，互联网券商，微信概念，成渝特区
600110,宁德时代概念，锂电池，参股保险，覆铜板概念，中科院系
600111,稀土永磁，小金属概念，稀缺资源，新材料概念，参股新三板，MSCI概念，富时罗素概念股，标普道琼斯A股，稀土整合，地方国资改革，稀有金属
600112,ST板块，智能电网，壳资源，智慧城市，互联网金融，小金属概念，高端装备，互联网+，参股保险，金属镍，中非合作，钼，融资租赁，移动金融，小额贷款
600113,金改，冷链物流，SDR概念，小额贷款，参股民营银行，浙江国资改革，地方国资改革
600114,特斯拉，股权转让，3D打印，燃料电池，华为概念，标普道琼斯A股，国际板
600115,跨境电商，MSCI概念，大飞机，央企国资改革，3D打印，互联网+，迪士尼，电子商务，通用航空，富时罗素概念股，标普道琼斯A股，大消费，油价下调，人民币升值，航空租赁，机构重仓
600116,水利，节能环保，央企国资改革，富时罗素概念股，标普道琼斯A股，重庆自贸区，长江经济带，成渝特区
600117,特钢概念，铁路基建，钒涨价，钒电池，铁矿石，地方国资改革
600118,大飞机，国产航母，军工，中字头股票，卫星导航，无人机，高端装备，央企国资改革，一带一路，军民融合，MSCI概念，富时罗素概念股，标普道琼斯A股，航天系，航空航天，火箭军，阅兵，国产替代，军工改制，航天军工，嫦娥概念，遥感技术，太空互联网
600119,自由贸易港，跨境电商，物流电商平台，金改，电子商务，军工，上海国资改革，ST板块，进口博览会，航空航天，长江经济带，SDR概念，双十一，小额贷款，黄金水道，物流骨干网，地方国资改革
600120,信托概念，债转股，金改，参股保险，参股券商，供应链金融，职业教育，量子通信，期货概念，证金持股，创投，独角兽概念，富时罗素概念股，标普道琼斯A股，互联网期货，浙江国资改革，地方国资改革
600121,证金持股，稀缺资源，河南国资改革，地方国资改革
600122,新零售，移动支付，腾讯概念，参股券商，智能穿戴，举牌，互联网金融，标普道琼斯A股，电子信息，小额贷款，参股民营银行
600123,煤化工，富时罗素概念股，稀缺资源，标普道琼斯A股，甲醇，太阳能，地方国资改革
600125,冷链物流，一带一路，央企国资改革，富时罗素概念股，标普道琼斯A股，振兴东北，铁路基建，物流骨干网，铁路混改
600126,杭州亚运会，特钢概念，节能环保，污水处理，互联网+，杭州湾大湾区，互联网钢铁，浙江国资改革，地方国资改革，机构重仓
600127,农业种植，人造肉，乳业，乡村振兴，面粉，地沟油概念，湖南国资改革，地方国资改革
600128,创投，金改，期货概念，黄金概念，人民币贬值受益，互联网期货，江苏国资改革，地方国资改革
600129,健康中国，中医药，重庆国资改革，医保目录，成渝特区，抗癌，地方国资改革
600130,国产操作系统，卫星导航，壳资源，微信概念
600131,电力物联网，电力改革，水利，央企国资改革，多晶硅
600132,啤酒概念，标普道琼斯A股，富时罗素概念股，大消费，养老金持股，重庆自贸区，厄尔尼诺概念，成渝特区，世界杯，机构重仓
600133,创投，参股新三板，垃圾发电，东湖高新园区，兽药，长江经济带，武汉自贸区，重金属治理，脱硫脱硝，湖北国资改革，地方国资改革
600135,锂电池，雄安新区，央企国资改革，京津冀一体化，柔性屏，贸易战受益股，航天系，锂电隔膜，雄安地产，太阳能
600136,足球概念，文化传媒，体育产业，参股券商，标普道琼斯A股，世界杯，影视娱乐，奥运会，明星参股概念
600137,金改，举牌，紫光系，成渝特区
600138,在线旅游，网络游戏，央企国资改革，电子商务，消费金融，富时罗素概念股，标普道琼斯A股，旅游，大消费，海南自贸区，博彩
600139,黄金概念，小金属概念，钴，融资租赁，成渝特区，稀有金属
600141,草甘膦，磷化工，氢氟酸，稀缺资源，乡村振兴，氢能源，富时罗素概念股，芯片概念，标普道琼斯A股，化肥，有机硅，黑磷，地方国资改革
600143,碳纤维，特斯拉，华为概念，金改，参股保险，煤化工，小额贷款，可降解塑料，参股民营银行
600145,创投，ST板块，成渝特区
600146,区块链，碳纤维，跨境电商，电子商务，互联网金融，商誉减值，体育产业，征信
600148,军工，央企国资改革，振兴东北，中兵系，军工改制，航天军工
600149,ST板块，京津冀一体化，雄安新区，雄安地产，恒大概念，地方国资改革
600150,中船系，国产航母，海工装备，中字头股票，军工，高端装备，风电，一带一路，军民融合，摘帽，航运港口，海洋经济，军工改制
600151,军民融合，上海自贸区，光伏概念，航天系，太阳能，军工改制，航天军工，多晶硅
600152,消费电子，华为概念，燃料电池，锂电池，锂电制造，口罩
600153,福建自贸区，标普道琼斯A股，MSCI概念，参股银行，富时罗素概念股，养老金持股，参股360，海峡西岸，地方国资改革
600155,地下管网，雄安新区，京津冀一体化，参股券商，雄安金融
600156,人民币贬值受益，新材料概念，参股券商，湖南国资改革，地方国资改革
600157,赛马概念，页岩气，核电，新能源汽车，物联网，参股保险，新基建，焦煤
600158,互联网彩票，足球概念，体育产业，文化传媒，赛马概念，央企国资改革，冬奥会，世界杯，博彩，体育用品，全运会
600159,京津冀一体化，证金持股，中央政务区，北京国资改革，地方国资改革
600160,氟化工，氢氟酸，富时罗素概念股，MSCI预期，标普道琼斯A股，甲酸，萤石，碳交易，互联网平台，埃博拉概念，制冷剂，浙江国资改革，地方国资改革
600161,超级真菌，生物医药，MSCI预期，富时罗素概念股，标普道琼斯A股，血液制品，机构重仓
600162,标普道琼斯A股，粤港澳大湾区，京津冀一体化，互联网+，富时罗素概念股，参股民营银行
600163,电力改革，光伏概念，债转股，风电，新能源汽车，地方国资改革
600165,节能环保，新材料概念，活性炭
600166,燃料电池，百度概念，智能交通，新能源汽车，车联网，特斯拉，无人驾驶，大数据，智慧城市，工业互联网，新能源整车，特朗普访华，汽车制造概念，北京国资改革，地方国资改革
600167,生物质能，MSCI预期，标普道琼斯A股，参股保险，节能环保，人脸识别，安防，富时罗素概念股，振兴东北，国际板，机构重仓
600168,节能环保，污水处理，赛马概念，水价改革，湖北国资改革，地方国资改革
600169,高铁，核电，高端装备，轨道交通，挖掘机，航天军工，铁路基建
600170,标普道琼斯A股，上海国资改革，迪士尼，一带一路，PPP概念，参股券商，MSCI概念，雄安新区，富时罗素概念股，地方国资改革
600171,芯片概念，集成电路概念，物联网，央企国资改革，智能电网，参股新三板，富时罗素概念股，华为概念，标普道琼斯A股，物联网感知层，芯片设计，超级计算机，全息手机，电子标签，指纹技术
600172,页岩气，机器人概念，透明工厂，工业4.0，军工，工业互联网，边缘计算，富时罗素概念股，标普道琼斯A股，金刚石（线），工业机器人，超硬材料
600173,网络游戏
600175,燃料电池，油品改革，石墨烯，参股保险，金改，锂电池，网约车，钴，小金属概念，天然气，新能源汽车，正极材料，超级电容，小额贷款，油气开采
