code,name,所属行业,hyname
002902,铭普光磁,,
603353,和顺石油,,
603211,晋拓股份,,
002629,仁智股份,,
603095,越剑智能,,
600699,均胜电子,,车联网，无人驾驶，汽车电子，特斯拉，机器人概念，互联网+，无线充电，新能源汽车，MSCI预期，富时罗素概念股，标普道琼斯A股，工业机器人，人脑工程，智能汽车，元器件
603809,豪能股份,,高铁，汽车制造概念
002279,久其软件,,
600838,上海九百,,上海国资改革，新零售，商超百货，地方国资改革
603110,东方材料,,石墨烯
002782,可立克,,
002232,启明信息,,
002965,祥鑫科技,,
600083,博信股份,,智能音箱，股权转让，人工智能，柔性屏，智能手表
603173,福斯达,,
002802,洪汇新材,,
600745,闻泰科技,,消费电子，芯片概念，华为概念，互联网+，5G，移动支付，健康中国，虚拟现实，车联网，人工智能，参股安世半导体，手势识别，移动互联网
002929,润建股份,,
603863,松炀资源,,新股与次新股，节能环保
000045,深纺织Ａ,,
002077,大港股份,,
002178,延华智能,,
002762,金发拉比,,
