A股代码,A股简称,所属行业
000001,平安银行,J 金融业
000002,万  科Ａ,K 房地产
000004,国华网安,I 信息技术
000005,ST星源,N 公共环保
000006,深振业Ａ,K 房地产
000007,*ST全新,K 房地产
000008,神州高铁,C 制造业
000009,中国宝安,S 综合
000010,美丽生态,E 建筑业
000011,深物业A,K 房地产
000012,南  玻Ａ,C 制造业
000014,沙河股份,K 房地产
000016,深康佳Ａ,C 制造业
000017,深中华A,C 制造业
000019,深粮控股,F 批发零售
000020,深华发Ａ,C 制造业
000021,深科技,C 制造业
000023,ST深天,C 制造业
000025,特  力Ａ,F 批发零售
000026,飞亚达,F 批发零售
000027,深圳能源,D 水电煤气
000028,国药一致,F 批发零售
000029,深深房Ａ,K 房地产
000030,富奥股份,C 制造业
000031,大悦城,K 房地产
000032,深桑达Ａ,E 建筑业
000034,神州数码,F 批发零售
000035,中国天楹,N 公共环保
000036,华联控股,K 房地产
000037,深南电A,D 水电煤气
000039,中集集团,C 制造业
000040,东旭蓝天,D 水电煤气
000042,中洲控股,K 房地产
000045,深纺织Ａ,C 制造业
000046,*ST泛海,J 金融业
000048,京基智农,C 制造业
000049,德赛电池,C 制造业
000050,深天马Ａ,C 制造业
000055,方大集团,C 制造业
000056,皇庭国际,L 商务服务
000058,深 赛 格,L 商务服务
000059,华锦股份,C 制造业
000060,中金岭南,C 制造业
000061,农 产 品,L 商务服务
000062,深圳华强,F 批发零售
000063,中兴通讯,C 制造业
000065,北方国际,E 建筑业
000066,中国长城,C 制造业
000068,华控赛格,M 科研服务
000069,华侨城Ａ,K 房地产
000070,特发信息,C 制造业
000078,海王生物,F 批发零售
000088,盐 田 港,G 运输仓储
000089,深圳机场,G 运输仓储
000090,天健集团,E 建筑业
000096,广聚能源,F 批发零售
000099,中信海直,G 运输仓储
000100,TCL科技,C 制造业
000151,中成股份,F 批发零售
000153,丰原药业,C 制造业
000155,川能动力,D 水电煤气
000156,华数传媒,R 文化传播
000157,中联重科,C 制造业
000158,常山北明,I 信息技术
000159,国际实业,F 批发零售
000166,申万宏源,J 金融业
000301,东方盛虹,C 制造业
000333,美的集团,C 制造业
000338,潍柴动力,C 制造业
000400,许继电气,C 制造业
000401,冀东水泥,C 制造业
000402,金 融 街,K 房地产
000403,派林生物,C 制造业
000404,长虹华意,C 制造业
000407,胜利股份,D 水电煤气
000408,藏格矿业,C 制造业
000409,云鼎科技,I 信息技术
000410,沈阳机床,C 制造业
000411,英特集团,F 批发零售
000413,东旭光电,C 制造业
000415,渤海租赁,L 商务服务
000416,*ST民控,J 金融业
000417,合肥百货,F 批发零售
000419,通程控股,F 批发零售
000420,吉林化纤,C 制造业
000421,南京公用,D 水电煤气
000422,湖北宜化,C 制造业
000423,东阿阿胶,C 制造业
000425,徐工机械,C 制造业
000426,兴业银锡,B 采矿业
000428,华天酒店,H 住宿餐饮
000429,粤高速Ａ,G 运输仓储
000430,张家界,N 公共环保
000488,晨鸣纸业,C 制造业
000498,山东路桥,E 建筑业
000501,武商集团,F 批发零售
000503,国新健康,I 信息技术
000504,南华生物,M 科研服务
000505,京粮控股,C 制造业
000506,中润资源,B 采矿业
000507,珠海港,G 运输仓储
000509,华塑控股,Q 卫生
000510,新金路,C 制造业
000513,丽珠集团,C 制造业
000514,渝 开 发,K 房地产
000516,国际医学,Q 卫生
000517,荣安地产,K 房地产
000518,四环生物,C 制造业
000519,中兵红箭,C 制造业
000520,凤凰航运,G 运输仓储
000521,长虹美菱,C 制造业
000523,广州浪奇,C 制造业
000524,岭南控股,L 商务服务
000525,ST红太阳,C 制造业
000526,学大教育,P 教育
000528,柳    工,C 制造业
000529,广弘控股,C 制造业
000530,冰山冷热,C 制造业
000531,穗恒运Ａ,D 水电煤气
000532,华金资本,S 综合
000533,顺钠股份,C 制造业
000534,万泽股份,C 制造业
000536,华映科技,C 制造业
000537,广宇发展,K 房地产
000538,云南白药,C 制造业
000539,粤电力Ａ,D 水电煤气
000541,佛山照明,C 制造业
000543,皖能电力,D 水电煤气
000544,中原环保,D 水电煤气
000545,金浦钛业,C 制造业
000546,ST金圆,N 公共环保
000547,航天发展,C 制造业
000548,湖南投资,G 运输仓储
000550,江铃汽车,C 制造业
000551,创元科技,S 综合
000552,甘肃能化,B 采矿业
000553,安道麦A,C 制造业
000554,泰山石油,F 批发零售
000555,神州信息,I 信息技术
000557,西部创业,G 运输仓储
000558,莱茵体育,K 房地产
000559,万向钱潮,C 制造业
000560,我爱我家,K 房地产
000561,烽火电子,C 制造业
000563,陕国投Ａ,J 金融业
000564,ST大集,F 批发零售
000565,渝三峡Ａ,C 制造业
000566,海南海药,C 制造业
000567,海德股份,J 金融业
000568,泸州老窖,C 制造业
000570,苏常柴Ａ,C 制造业
000571,新大洲A,S 综合
000572,海马汽车,C 制造业
000573,粤宏远Ａ,K 房地产
000576,甘化科工,C 制造业
000581,威孚高科,C 制造业
000582,北部湾港,G 运输仓储
000584,ST工智,C 制造业
000586,汇源通信,C 制造业
000589,贵州轮胎,C 制造业
000590,启迪药业,C 制造业
000591,太阳能,D 水电煤气
000592,平潭发展,A 农林牧渔
000593,德龙汇能,D 水电煤气
000595,宝塔实业,C 制造业
000596,古井贡酒,C 制造业
000597,东北制药,C 制造业
000598,兴蓉环境,D 水电煤气
000599,青岛双星,C 制造业
000600,建投能源,D 水电煤气
000601,韶能股份,D 水电煤气
000603,盛达资源,B 采矿业
000605,渤海股份,D 水电煤气
000607,华媒控股,R 文化传播
000608,阳光股份,K 房地产
000609,中迪投资,S 综合
000610,西安旅游,N 公共环保
000612,焦作万方,C 制造业
000615,*ST美谷,K 房地产
000617,中油资本,J 金融业
000619,海螺新材,C 制造业
000620,*ST新联,K 房地产
000622,恒立实业,C 制造业
000623,吉林敖东,C 制造业
000625,长安汽车,C 制造业
000626,远大控股,F 批发零售
000627,天茂集团,J 金融业
000628,高新发展,E 建筑业
000629,钒钛股份,C 制造业
000630,铜陵有色,C 制造业
000631,顺发恒业,K 房地产
000632,三木集团,F 批发零售
000633,合金投资,C 制造业
000635,英 力 特,C 制造业
000636,风华高科,C 制造业
000637,ST实华,C 制造业
000638,万方发展,I 信息技术
000639,西王食品,C 制造业
000650,仁和药业,C 制造业
000651,格力电器,C 制造业
000652,泰达股份,F 批发零售
000655,金岭矿业,B 采矿业
000656,金科股份,K 房地产
000657,中钨高新,C 制造业
000659,珠海中富,C 制造业
000661,长春高新,C 制造业
000663,永安林业,C 制造业
000665,湖北广电,R 文化传播
000666,经纬纺机,J 金融业
000668,荣丰控股,K 房地产
000669,ST金鸿,D 水电煤气
000670,盈方微,C 制造业
000672,上峰水泥,C 制造业
000676,智度股份,I 信息技术
000677,恒天海龙,C 制造业
000678,襄阳轴承,C 制造业
000679,大连友谊,F 批发零售
000680,山推股份,C 制造业
000681,视觉中国,R 文化传播
000682,东方电子,I 信息技术
000683,远兴能源,C 制造业
000685,中山公用,D 水电煤气
000686,东北证券,J 金融业
000688,国城矿业,B 采矿业
000690,宝新能源,D 水电煤气
000691,亚太实业,C 制造业
000692,*ST惠天,D 水电煤气
000695,滨海能源,C 制造业
000697,*ST炼石,C 制造业
000698,沈阳化工,C 制造业
000700,模塑科技,C 制造业
000701,厦门信达,F 批发零售
000702,正虹科技,C 制造业
000703,恒逸石化,C 制造业
000705,浙江震元,F 批发零售
000707,双环科技,C 制造业
000708,中信特钢,C 制造业
000709,河钢股份,C 制造业
000710,贝瑞基因,M 科研服务
000711,*ST京蓝,E 建筑业
000712,锦龙股份,J 金融业
000713,丰乐种业,A 农林牧渔
000715,中兴商业,F 批发零售
000716,黑芝麻,C 制造业
000717,中南股份,C 制造业
000718,苏宁环球,K 房地产
000719,中原传媒,R 文化传播
000720,新能泰山,K 房地产
000721,西安饮食,H 住宿餐饮
000722,湖南发展,D 水电煤气
000723,美锦能源,C 制造业
000725,京东方Ａ,C 制造业
000726,鲁  泰Ａ,C 制造业
